issue	sku	product_name	competitor	price	in_stock	active	is_used	context	url
PRICE_ZERO_IN_STOCK	BROTHER-DCP-T226	Máy in Brother DCP-T226	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-dcp-t226.html
PRICE_ZERO_IN_STOCK	BROTHER-DCP-T236	Máy in Brother DCP-T236	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-dcp-t236.html
PRICE_ZERO_IN_STOCK	BROTHER-HL-L3230CDN	Máy in Brother HL-L3230CDN	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-hl-l3230cdn.html
PRICE_ZERO_IN_STOCK	BROTHER-HL-L5100DN	Máy in Brother HL-L5100DN	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-hl-l5100dn.html
PRICE_ZERO_IN_STOCK	BROTHER-HL-L6200DW	Máy in Brother HL-L6200DW	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-hl-l6200dw.html
PRICE_ZERO_IN_STOCK	BROTHER-HL-L6400DW	Máy in Brother HL-L6400DW	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-laser-brother-hl-l6400dw.html
PRICE_ZERO_IN_STOCK	BROTHER-MFC-L5700DN	Máy in Brother MFC-L5700DN	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-laser-brother-mfc-l5700dn.html
PRICE_ZERO_IN_STOCK	BROTHER-MFC-L6915DW	Máy in Brother MFC-L6915DW - In laser trắng đen đa năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-mfc-l6915dw.html
PRICE_ZERO_IN_STOCK	BROTHER-MFC-L9630CDN	Máy in Brother MFC-L9630CDN	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-brother-mfc-l9630cdn.html
PRICE_ZERO_IN_STOCK	EPSON-L1110	Máy in Epson L1110	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l1110.html
PRICE_ZERO_IN_STOCK	EPSON-L3110	Máy in Epson L3110	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l3110.html
PRICE_ZERO_IN_STOCK	EPSON-L3150	Máy in Epson L3150	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l3150.html
PRICE_ZERO_IN_STOCK	EPSON-L4150	Máy in Epson L4150	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l4150.html
PRICE_ZERO_IN_STOCK	EPSON-L5290	Máy in Epson L5290 - In phun màu đa năng	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l5290.html
PRICE_ZERO_IN_STOCK	EPSON-L6170	Máy in Epson L6170	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l6170.html
PRICE_ZERO_IN_STOCK	EPSON-L6260	Máy in phun màu đa năng Epson L6260	Thành Nhân	0.0	True	True	False	Giá=0 nhưng in_stock=True — mâu thuẫn quy ước, nghi bug parse giá	https://www.tnc.com.vn/may-in-epson-l6260.html
